followers,following,posts,verified,bio,profile_pic,username_length,username_digits,ratio,fake
554,40313,1040,0,0,1,9,1,0.01,0
29687,40830,316,0,1,1,6,2,0.73,0
27226,48376,2476,1,0,1,14,2,0.56,0
17335,25099,671,1,1,0,5,4,0.69,0
46954,46135,2620,1,0,0,7,0,1.02,0
36903,29852,2387,1,1,0,6,0,1.24,0
33744,27748,3362,1,1,1,16,1,1.22,0
4783,5119,588,0,0,0,6,1,0.93,0
20856,38974,2877,0,0,0,19,0,0.54,0
49865,29485,623,0,1,0,19,0,1.69,0
15161,14386,1106,1,1,0,9,2,1.05,0
3990,33983,308,0,1,0,5,2,0.12,0
294,26466,256,0,0,0,19,3,0.01,0
42744,31660,4138,1,1,1,12,0,1.35,0
37108,27340,3994,1,0,1,12,1,1.36,0
36931,46101,542,0,1,1,9,1,0.8,0
27705,42620,3934,0,1,1,5,2,0.65,0
17948,3512,3150,1,1,0,10,4,5.11,0
27133,902,656,0,1,0,5,4,30.08,0
26426,33763,1599,1,1,0,10,2,0.78,0
22787,42211,2771,0,0,1,13,2,0.54,0
32532,4289,2815,1,1,0,7,0,7.58,0
47051,39520,1132,0,1,1,6,1,1.19,0
47806,39832,997,0,0,1,17,1,1.2,0
34548,6097,35,0,1,1,6,1,5.67,0
22093,17569,3277,0,1,0,18,0,1.26,0
27058,39639,1668,1,1,1,5,1,0.68,0
46534,30269,2305,1,0,1,8,0,1.54,0
48874,28615,201,1,0,1,6,5,1.71,0
37948,42662,3569,1,0,0,16,0,0.89,0
42000,2775,1594,1,1,0,18,0,15.14,0
22719,231,3619,0,1,1,12,5,98.35,0
49046,43675,1105,1,1,0,12,3,1.12,0
11955,2909,259,1,1,1,14,0,4.11,0
29353,28428,2918,1,0,0,19,4,1.03,0
32618,23242,136,1,0,1,19,5,1.4,0
16520,40247,1665,1,1,0,19,3,0.41,0
24162,40066,4672,0,1,1,10,2,0.6,0
39865,15035,3155,1,1,0,5,0,2.65,0
25508,9122,2769,0,1,0,12,4,2.8,0
23161,23341,2141,0,0,0,14,0,0.99,0
41501,18870,2749,1,0,0,10,2,2.2,0
38517,41221,257,1,1,1,13,5,0.93,0
44182,26379,1337,1,0,0,18,2,1.67,0
15202,176,1615,0,1,1,10,1,86.38,0
12806,26039,1351,1,0,1,15,2,0.49,0
48299,30021,1137,0,1,1,17,5,1.61,0
46139,7891,3876,0,0,0,6,1,5.85,0
35858,27404,4911,1,1,1,17,1,1.31,0
11029,25914,4250,1,0,0,7,2,0.43,0
47703,34091,376,0,0,1,13,2,1.4,0
19657,43481,1761,1,0,0,18,2,0.45,0
31887,43606,2109,1,1,1,15,2,0.73,0
47193,10855,3435,0,1,0,5,0,4.35,0
28475,2177,1781,0,0,0,9,4,13.08,0
35250,47035,157,0,0,1,14,5,0.75,0
14237,19612,2055,0,1,1,13,2,0.73,0
31609,45759,4176,1,0,1,7,2,0.69,0
19260,28778,1694,1,1,0,5,0,0.67,0
30059,41308,4318,0,1,0,7,0,0.73,0
424,9241,3067,0,0,1,11,3,0.05,0
21927,31483,2406,0,1,1,9,1,0.7,0
38065,40471,1715,1,0,0,16,0,0.94,0
7607,35523,2926,0,0,0,5,5,0.21,0
41183,32755,3790,1,1,0,11,0,1.26,0
37880,30946,3872,0,1,1,5,3,1.22,0
34263,21093,490,0,1,1,19,0,1.62,0
18326,20538,2010,0,0,1,15,2,0.89,0
4047,21847,1171,0,1,0,16,1,0.19,0
34548,34070,2116,0,0,0,17,1,1.01,0
22863,47315,4459,1,0,1,13,5,0.48,0
36155,30832,3869,1,1,1,17,5,1.17,0
12314,25592,3938,0,1,1,20,2,0.48,0
47721,14829,4245,0,0,0,9,0,3.22,0
34405,26554,979,0,0,0,16,2,1.3,0
12277,4256,4355,1,1,0,16,0,2.88,0
4484,1334,2299,1,0,0,11,1,3.36,0
34116,27949,2114,1,1,1,6,0,1.22,0
4073,43075,4787,0,0,1,12,0,0.09,0
3662,39044,3951,1,0,0,16,0,0.09,0
34308,34072,1129,1,1,0,20,2,1.01,0
33940,15372,823,0,1,0,7,5,2.21,0
16602,12671,1444,0,0,1,20,4,1.31,0
2894,6308,2747,1,0,0,6,2,0.46,0
16345,17205,1926,0,0,0,14,2,0.95,0
2458,20919,1345,0,1,0,12,5,0.12,0
13390,38942,3336,1,0,0,18,0,0.34,0
5707,31340,4172,0,1,0,19,4,0.18,0
49533,43645,867,0,0,1,15,4,1.13,0
22734,31156,4159,1,1,0,18,5,0.73,0
46583,49672,4411,0,0,1,17,4,0.94,0
17519,35808,3444,0,0,1,12,0,0.49,0
6923,8942,2817,0,0,0,8,4,0.77,0
25124,14428,1629,1,1,1,10,0,1.74,0
17102,21288,410,1,1,0,11,0,0.8,0
19720,9003,1395,1,0,0,18,0,2.19,0
31741,43019,135,1,1,0,12,5,0.74,0
30484,15767,4883,1,1,0,20,3,1.93,0
4172,41800,800,1,0,0,9,3,0.1,0
32481,45158,3747,0,1,0,5,5,0.72,0
32807,6701,4861,0,0,0,15,1,4.9,0
8940,19232,526,1,1,1,18,0,0.46,0
23900,18126,2198,1,0,1,12,3,1.32,0
4798,2355,1590,0,0,1,6,5,2.04,0
9215,26540,3036,1,1,0,7,1,0.35,0
25890,3579,13,0,0,1,10,2,7.23,0
