username,followers,following,posts,verified,bio,profile_pic,username_length,username_digits,ratio,fake
user0,4579,2077,280,0,0,1,5,1,2.2,0
user1,6177,2095,293,1,0,1,5,1,2.95,0
user2,4842,1884,61,0,0,0,5,1,2.57,0
user3,7595,4175,189,0,0,0,5,1,1.82,0
user4,1375,4228,196,0,1,1,5,1,0.33,0
user5,8554,4665,372,0,0,1,5,1,1.83,0
user6,2787,1028,310,0,0,0,5,1,2.71,0
user7,8621,2877,68,0,1,1,5,1,3.0,0
user8,1161,4770,45,0,0,0,5,1,0.24,0
user9,6138,3435,90,0,1,0,5,1,1.79,0
user10,2310,3877,15,1,1,0,6,2,0.6,0
user11,6050,4919,497,0,0,1,6,2,1.23,0
user12,3544,2881,397,0,0,1,6,2,1.23,0
user13,7244,4416,23,1,1,1,6,2,1.64,0
user14,9175,4711,64,1,0,1,6,2,1.95,0
user15,8220,3769,253,0,1,1,6,2,2.18,0
user16,588,2716,142,1,0,0,6,2,0.22,0
user17,9044,4514,469,0,0,1,6,2,2.0,0
user18,9608,1863,211,0,0,0,6,2,5.16,0
user19,9869,1313,371,0,0,1,6,2,7.52,0
user20,2213,33,113,0,0,1,6,2,67.06,0
user21,5060,248,295,0,0,0,6,2,20.4,0
user22,3958,2924,428,0,1,0,6,2,1.35,0
user23,7714,2531,195,0,0,1,6,2,3.05,0
user24,6685,2808,446,1,0,0,6,2,2.38,0
user25,9703,4701,448,1,0,0,6,2,2.06,0
user26,8150,255,272,1,1,1,6,2,31.96,0
user27,2734,3719,242,0,0,0,6,2,0.74,0
user28,5159,942,97,0,0,1,6,2,5.48,0
user29,2532,428,336,1,0,0,6,2,5.92,0
user30,331,4628,31,1,0,1,6,2,0.07,0
user31,255,4684,358,1,1,1,6,2,0.05,0
user32,2079,225,232,1,0,1,6,2,9.24,0
user33,7758,2563,199,0,0,1,6,2,3.03,0
user34,5645,4590,483,1,1,1,6,2,1.23,0
user35,2449,1890,412,1,1,0,6,2,1.3,0
user36,776,4467,2,1,0,1,6,2,0.17,0
user37,7958,1916,286,1,0,1,6,2,4.15,0
user38,2545,478,94,0,1,1,6,2,5.32,0
user39,1996,2199,12,0,1,0,6,2,0.91,0
user40,2942,4596,190,1,0,1,6,2,0.64,0
user41,2897,4400,390,0,1,1,6,2,0.66,0
user42,8689,4327,129,0,0,1,6,2,2.01,0
user43,669,2889,182,1,1,0,6,2,0.23,0
user44,7504,2314,182,1,0,1,6,2,3.24,0
user45,5874,6,401,1,1,1,6,2,979.0,0
user46,2871,4463,470,0,0,0,6,2,0.64,0
user47,6521,4037,227,1,0,1,6,2,1.62,0
user48,1599,388,45,0,1,1,6,2,4.12,0
user49,4069,4935,477,0,0,1,6,2,0.82,0
user50,1453,3377,480,0,1,0,6,2,0.43,0
user51,2927,938,51,0,1,0,6,2,3.12,0
user52,1119,76,330,1,0,1,6,2,14.72,0
user53,500,4697,333,1,0,0,6,2,0.11,0
user54,8301,1041,172,0,0,1,6,2,7.97,0
user55,3432,1048,85,0,0,0,6,2,3.27,0
user56,957,2523,359,0,0,1,6,2,0.38,0
user57,225,1687,72,1,1,1,6,2,0.13,0
user58,9878,4419,340,1,0,0,6,2,2.24,0
user59,6049,4566,302,1,0,0,6,2,1.32,0
user60,7711,4048,50,1,0,1,6,2,1.9,0
user61,2093,1988,18,1,1,1,6,2,1.05,0
user62,1951,31,17,0,1,0,6,2,62.94,0
user63,3770,2866,430,1,1,0,6,2,1.32,0
user64,97,4355,8,1,1,0,6,2,0.02,1
user65,9667,2645,117,1,1,0,6,2,3.65,0
user66,8465,4138,127,0,0,1,6,2,2.05,0
user67,422,4695,216,1,0,1,6,2,0.09,0
user68,1798,1936,234,1,0,0,6,2,0.93,0
user69,6232,891,327,1,1,1,6,2,6.99,0
user70,7951,4772,44,0,0,1,6,2,1.67,0
user71,7772,989,183,0,0,0,6,2,7.86,0
user72,3935,2532,285,0,0,0,6,2,1.55,0
user73,4120,1844,257,1,0,1,6,2,2.23,0
user74,5777,1801,280,0,0,1,6,2,3.21,0
user75,7770,2593,279,1,0,0,6,2,3.0,0
user76,4170,2308,268,1,0,1,6,2,1.81,0
user77,8452,1194,4,1,0,0,6,2,7.08,0
user78,3996,3971,260,1,1,1,6,2,1.01,0
user79,1561,990,240,0,0,0,6,2,1.58,0
user80,8594,2675,191,0,0,0,6,2,3.21,0
user81,3768,2119,316,1,1,0,6,2,1.78,0
user82,3764,2293,369,1,0,0,6,2,1.64,0
user83,5368,2616,303,1,1,0,6,2,2.05,0
user84,9461,569,119,0,1,1,6,2,16.63,0
user85,2856,2268,462,1,1,0,6,2,1.26,0
user86,9594,3941,211,1,1,1,6,2,2.43,0
user87,9175,3597,5,1,0,0,6,2,2.55,0
user88,1616,450,270,1,0,0,6,2,3.59,0
user89,150,2587,68,1,1,0,6,2,0.06,0
user90,2367,4495,218,1,0,1,6,2,0.53,0
user91,4844,2968,283,1,0,1,6,2,1.63,0
user92,3693,1683,357,1,1,0,6,2,2.19,0
user93,6981,1690,289,1,0,0,6,2,4.13,0
user94,3669,2543,336,0,1,0,6,2,1.44,0
user95,2959,3228,197,1,0,1,6,2,0.92,0
user96,388,3867,249,1,1,1,6,2,0.1,0
user97,1709,587,144,0,1,1,6,2,2.91,0
user98,400,4889,415,0,0,1,6,2,0.08,0
user99,3588,4381,1,0,0,0,6,2,0.82,1
user100,9994,621,342,1,1,0,7,3,16.09,0
user101,3103,2364,155,1,0,1,7,3,1.31,0
user102,9662,339,263,1,0,1,7,3,28.5,0
user103,3811,2119,70,0,1,0,7,3,1.8,0
user104,2531,1899,240,0,1,1,7,3,1.33,0
user105,5658,3993,439,1,0,0,7,3,1.42,0
user106,7914,4588,203,0,1,0,7,3,1.72,0
user107,1821,3666,365,1,0,1,7,3,0.5,0
user108,4915,4575,80,0,1,1,7,3,1.07,0
user109,9617,309,135,1,1,1,7,3,31.12,0
user110,9106,3695,94,1,0,1,7,3,2.46,0
user111,7074,538,120,0,1,1,7,3,13.15,0
