followers,following,posts,verified,bio,profile_pic,username_length,username_digits,ratio,label
1200,500,150,1,1,1,8,1,2.40,1
950,400,120,1,1,1,9,2,2.37,1
700,350,80,0,1,1,8,1,2.00,1
1500,600,210,1,1,1,10,0,2.50,1
500,250,60,0,1,1,7,1,2.00,1
80,900,2,0,0,0,14,8,0.09,0
40,700,1,0,0,0,15,9,0.06,0
20,500,0,0,0,0,16,10,0.04,0
150,1000,3,0,0,0,13,7,0.15,0
60,800,1,0,0,0,15,8,0.07,0
900,450,95,0,1,1,9,2,2.00,1
1100,550,140,1,1,1,8,1,2.00,1
100,650,4,0,0,0,14,6,0.15,0
75,900,2,0,0,0,15,9,0.08,0
1300,650,170,1,1,1,9,1,2.00,1
